rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
1,sample_009838,0.99417579,0.99670076,0.99038834,20,0.99708724;0.99680668;0.99620837,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009838_dinov2_base_adjacent_similarity.csv
2,sample_009856,0.99404042,0.99584123,0.99133920,20,0.99666923;0.99551243;0.99534202,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009856_dinov2_base_adjacent_similarity.csv
3,sample_009843,0.99399373,0.99644311,0.99031965,20,0.99657726;0.99645889;0.99629319,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009843_dinov2_base_adjacent_similarity.csv
4,sample_009858,0.99397587,0.99598998,0.99095471,20,0.99602348;0.99600959;0.99593687,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009858_dinov2_base_adjacent_similarity.csv
5,sample_009849,0.99395173,0.99583286,0.99113002,20,0.99601293;0.99588883;0.99559683,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009849_dinov2_base_adjacent_similarity.csv
6,sample_009855,0.99385437,0.99593673,0.99073084,20,0.99651927;0.99577403;0.99551690,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009855_dinov2_base_adjacent_similarity.csv
7,sample_009851,0.99376074,0.99593005,0.99050678,20,0.99676895;0.99554139;0.99547982,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009851_dinov2_base_adjacent_similarity.csv
8,sample_009839,0.99369198,0.99600440,0.99022334,20,0.99615312;0.99599689;0.99586320,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009839_dinov2_base_adjacent_similarity.csv
9,sample_009842,0.99365268,0.99590755,0.99027038,20,0.99624950;0.99609113;0.99538201,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009842_dinov2_base_adjacent_similarity.csv
10,sample_009850,0.99360816,0.99601438,0.98999883,20,0.99618757;0.99604130;0.99581426,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009850_dinov2_base_adjacent_similarity.csv
11,sample_009859,0.99358610,0.99576817,0.99031300,20,0.99628490;0.99585485;0.99516475,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009859_dinov2_base_adjacent_similarity.csv
