task_id,task_score,rank,sample,quality_score,top3_mean,global_mean,num_pairs,top3_values,csv_path
390,7.0,1860,sample_009892,0.95868854,0.99201155,0.90870404,20,0.99278891;0.99164116;0.99160457,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009892_dinov2_base_adjacent_similarity.csv
390,7.0,1948,sample_010337,0.95812116,0.99006776,0.91020127,20,0.99176896;0.99017155;0.98826277,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010337_dinov2_base_adjacent_similarity.csv
390,7.0,2339,sample_009933,0.95625132,0.98932763,0.90663687,20,0.99203879;0.98799127;0.98795283,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009933_dinov2_base_adjacent_similarity.csv
390,7.0,2645,sample_010094,0.95465024,0.98750287,0.90537129,20,0.98945618;0.98855287;0.98449957,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010094_dinov2_base_adjacent_similarity.csv
390,7.0,2789,sample_010227,0.95403082,0.99196375,0.89713144,20,0.99488294;0.99131525;0.98969305,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010227_dinov2_base_adjacent_similarity.csv
390,7.0,2937,sample_010306,0.95327590,0.98945163,0.89901231,20,0.99111950;0.99033737;0.98689801,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010306_dinov2_base_adjacent_similarity.csv
390,7.0,3026,sample_010336,0.95281198,0.98850443,0.89927331,20,0.99168730;0.99002886;0.98379713,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010336_dinov2_base_adjacent_similarity.csv
390,7.0,3103,sample_010346,0.95245335,0.98896907,0.89767978,20,0.99341410;0.98705518;0.98643792,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010346_dinov2_base_adjacent_similarity.csv
390,7.0,3432,sample_009891,0.95090999,0.99246488,0.88857765,20,0.99360466;0.99193650;0.99185348,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009891_dinov2_base_adjacent_similarity.csv
390,7.0,3713,sample_010329,0.94951153,0.98664999,0.89380383,20,0.98710120;0.98706436;0.98578441,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010329_dinov2_base_adjacent_similarity.csv
390,7.0,3785,sample_010232,0.94920666,0.98858071,0.89014559,20,0.99123216;0.98835886;0.98615110,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010232_dinov2_base_adjacent_similarity.csv
390,7.0,3809,sample_010319,0.94904353,0.97797688,0.90564350,20,0.98627543;0.97610217;0.97155303,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010319_dinov2_base_adjacent_similarity.csv
390,7.0,3860,sample_010077,0.94882533,0.98668573,0.89203473,20,0.98817718;0.98652804;0.98535198,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010077_dinov2_base_adjacent_similarity.csv
390,7.0,3920,sample_009888,0.94855230,0.99480178,0.87917808,20,0.99546736;0.99498034;0.99395764,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009888_dinov2_base_adjacent_similarity.csv
390,7.0,3958,sample_009904,0.94840224,0.98787612,0.88919143,20,0.99184352;0.98977494;0.98200989,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009904_dinov2_base_adjacent_similarity.csv
390,7.0,4096,sample_010224,0.94774946,0.97924024,0.90051328,20,0.98247290;0.98077905;0.97446877,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010224_dinov2_base_adjacent_similarity.csv
390,7.0,4113,sample_010314,0.94762574,0.98771085,0.88749808,20,0.98970830;0.98912203;0.98430222,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010314_dinov2_base_adjacent_similarity.csv
390,7.0,4127,sample_010076,0.94755829,0.99065689,0.88291038,20,0.99066722;0.99066520;0.99063826,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010076_dinov2_base_adjacent_similarity.csv
390,7.0,4204,sample_010362,0.94716155,0.98462560,0.89096548,20,0.99485314;0.98837191;0.97065175,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010362_dinov2_base_adjacent_similarity.csv
390,7.0,4289,sample_010200,0.94669002,0.98431535,0.89025201,20,0.98793399;0.98507452;0.97993755,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010200_dinov2_base_adjacent_similarity.csv
390,7.0,4337,sample_010328,0.94649475,0.98532535,0.88824884,20,0.99129134;0.98301959;0.98166513,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010328_dinov2_base_adjacent_similarity.csv
390,7.0,4395,sample_009882,0.94622870,0.99151063,0.87830581,20,0.99228925;0.99164790;0.99059474,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009882_dinov2_base_adjacent_similarity.csv
390,7.0,4403,sample_010554,0.94619326,0.98827789,0.88306631,20,0.99292034;0.98888028;0.98303306,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010554_dinov2_base_adjacent_similarity.csv
390,7.0,4523,sample_010082,0.94557173,0.98975459,0.87929743,20,0.99037158;0.98960578;0.98928642,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010082_dinov2_base_adjacent_similarity.csv
390,7.0,4684,sample_010324,0.94475133,0.97736204,0.89583526,20,0.97834575;0.97729337;0.97644699,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010324_dinov2_base_adjacent_similarity.csv
390,7.0,4695,sample_009947,0.94469492,0.98429795,0.88529039,20,0.98835415;0.98654538;0.97799432,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009947_dinov2_base_adjacent_similarity.csv
390,7.0,4712,sample_009878,0.94459998,0.99402315,0.87046522,20,0.99578977;0.99353850;0.99274117,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009878_dinov2_base_adjacent_similarity.csv
390,7.0,4718,sample_010225,0.94458523,0.98785893,0.87967467,20,0.99069083;0.98721814;0.98566782,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010225_dinov2_base_adjacent_similarity.csv
390,7.0,4783,sample_009879,0.94428909,0.98643543,0.88106958,20,0.99295193;0.98966551;0.97668886,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009879_dinov2_base_adjacent_similarity.csv
390,7.0,4798,sample_010320,0.94423203,0.97801449,0.89355834,20,0.98625314;0.97484541;0.97294492,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010320_dinov2_base_adjacent_similarity.csv
390,7.0,4942,sample_010537,0.94334593,0.98823146,0.87601763,20,0.99426544;0.99095690;0.97947204,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010537_dinov2_base_adjacent_similarity.csv
390,7.0,4965,sample_009968,0.94327364,0.99022696,0.87284365,20,0.99139094;0.99030519;0.98898476,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009968_dinov2_base_adjacent_similarity.csv
390,7.0,5024,sample_009909,0.94296679,0.99103526,0.87086408,20,0.99391264;0.99143946;0.98775369,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009909_dinov2_base_adjacent_similarity.csv
390,7.0,5026,sample_010245,0.94296396,0.97933098,0.88841343,20,0.98185146;0.97815132;0.97799015,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010245_dinov2_base_adjacent_similarity.csv
390,7.0,5093,sample_009867,0.94259947,0.97798485,0.88952141,20,0.99060148;0.98294795;0.96040511,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009867_dinov2_base_adjacent_similarity.csv
390,7.0,5121,sample_010338,0.94247415,0.97303613,0.89663119,20,0.98439449;0.98092413;0.95378977,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010338_dinov2_base_adjacent_similarity.csv
390,7.0,5132,sample_010250,0.94241424,0.98620405,0.87672954,20,0.98874438;0.98656231;0.98330545,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010250_dinov2_base_adjacent_similarity.csv
390,7.0,5237,sample_010223,0.94171202,0.98169114,0.88174333,20,0.98593980;0.98125362;0.97788000,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010223_dinov2_base_adjacent_similarity.csv
390,7.0,5242,sample_010091,0.94168928,0.98877978,0.87105352,20,0.99361610;0.98868215;0.98404109,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010091_dinov2_base_adjacent_similarity.csv
390,7.0,5289,sample_010033,0.94144823,0.97710800,0.88795857,20,0.99182951;0.99104607;0.94844842,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010033_dinov2_base_adjacent_similarity.csv
390,7.0,5308,sample_010348,0.94134962,0.97656319,0.88852926,20,0.98528045;0.98131907;0.96309006,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010348_dinov2_base_adjacent_similarity.csv
390,7.0,5315,sample_010361,0.94129647,0.98852158,0.87045881,20,0.99160385;0.98983908;0.98412180,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010361_dinov2_base_adjacent_similarity.csv
390,7.0,5327,sample_009886,0.94123580,0.99253589,0.86428567,20,0.99405402;0.99348801;0.99006563,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009886_dinov2_base_adjacent_similarity.csv
390,7.0,5364,sample_009939,0.94102488,0.99072873,0.86646910,20,0.99320173;0.99137330;0.98761117,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009939_dinov2_base_adjacent_similarity.csv
390,7.0,5408,sample_010029,0.94081351,0.98865352,0.86905350,20,0.99005789;0.98826253;0.98764014,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010029_dinov2_base_adjacent_similarity.csv
390,7.0,5457,sample_010037,0.94051892,0.98972595,0.86670837,20,0.99146801;0.99013007;0.98757976,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010037_dinov2_base_adjacent_similarity.csv
390,7.0,5517,sample_010083,0.94019544,0.98461110,0.87357196,20,0.98892963;0.98293412;0.98196954,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010083_dinov2_base_adjacent_similarity.csv
390,7.0,5539,sample_009880,0.94009567,0.99266990,0.86123432,20,0.99313915;0.99273533;0.99213523,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009880_dinov2_base_adjacent_similarity.csv
390,7.0,5580,sample_010249,0.93986689,0.97662584,0.88472847,20,0.97872233;0.97718656;0.97396863,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_010249_dinov2_base_adjacent_similarity.csv
390,7.0,5636,sample_009949,0.93951084,0.98684792,0.86850524,20,0.98861569;0.98748267;0.98444539,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009949_dinov2_base_adjacent_similarity.csv
