sample,score_top5_mean,num_pairs,top_values,csv_path
sample_000497,0.99677081,20,0.99784219;0.99754983;0.99748462;0.99688196;0.99409544,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000497_dinov2_base_adjacent_similarity.csv
sample_000504,0.99675267,20,0.99769813;0.99709862;0.99679732;0.99622762;0.99594164,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000504_dinov2_base_adjacent_similarity.csv
sample_000496,0.99624330,20,0.99743724;0.99684358;0.99666190;0.99522370;0.99505007,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000496_dinov2_base_adjacent_similarity.csv
sample_000687,0.99603620,20,0.99759406;0.99733812;0.99611843;0.99580574;0.99332464,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000687_dinov2_base_adjacent_similarity.csv
sample_009843,0.99584250,20,0.99657726;0.99645889;0.99629319;0.99509239;0.99479079,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009843_dinov2_base_adjacent_similarity.csv
sample_009839,0.99583513,20,0.99615312;0.99599689;0.99586320;0.99569613;0.99546629,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009839_dinov2_base_adjacent_similarity.csv
sample_009838,0.99583340,20,0.99708724;0.99680668;0.99620837;0.99480784;0.99425685,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009838_dinov2_base_adjacent_similarity.csv
sample_009827,0.99582933,20,0.99714953;0.99594593;0.99592078;0.99573684;0.99439359,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009827_dinov2_base_adjacent_similarity.csv
sample_009858,0.99581937,20,0.99602348;0.99600959;0.99593687;0.99567121;0.99545568,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009858_dinov2_base_adjacent_similarity.csv
sample_000432,0.99577825,20,0.99755353;0.99740070;0.99657679;0.99598670;0.99137354,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000432_dinov2_base_adjacent_similarity.csv
sample_000499,0.99566092,20,0.99696225;0.99641085;0.99584711;0.99553967;0.99354470,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000499_dinov2_base_adjacent_similarity.csv
sample_000674,0.99565178,20,0.99726510;0.99706066;0.99563813;0.99455523;0.99373978,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000674_dinov2_base_adjacent_similarity.csv
sample_000670,0.99564726,20,0.99686491;0.99618673;0.99598956;0.99531817;0.99387693,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000670_dinov2_base_adjacent_similarity.csv
sample_009850,0.99564660,20,0.99618757;0.99604130;0.99581426;0.99552202;0.99466783,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009850_dinov2_base_adjacent_similarity.csv
sample_009855,0.99563939,20,0.99651927;0.99577403;0.99551690;0.99539316;0.99499357,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009855_dinov2_base_adjacent_similarity.csv
sample_000017,0.99557949,20,0.99791366;0.99675781;0.99496895;0.99448168;0.99377537,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000017_dinov2_base_adjacent_similarity.csv
sample_009849,0.99557651,20,0.99601293;0.99588883;0.99559683;0.99554574;0.99483824,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_009849_dinov2_base_adjacent_similarity.csv
sample_000682,0.99556726,20,0.99792147;0.99727088;0.99620569;0.99556351;0.99087477,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000682_dinov2_base_adjacent_similarity.csv
sample_000492,0.99556668,20,0.99796939;0.99740106;0.99589717;0.99520028;0.99136549,/media/datasets/yumi/hjh/datasets/agibot_v2_uncleaned_dino/sample_000492_dinov2_base_adjacent_similarity.csv
