file,sample,image_a,image_b,similarity
001_sample_002565_010_011_sim_0.978078.jpg,sample_002565,010.jpg,011.jpg,0.97807777
002_sample_008435_005_006_sim_0.976066.jpg,sample_008435,005.jpg,006.jpg,0.97606623
003_sample_002510_000_001_sim_0.979228.jpg,sample_002510,000.jpg,001.jpg,0.97922838
004_sample_002348_002_003_sim_0.977930.jpg,sample_002348,002.jpg,003.jpg,0.97793043
005_sample_012816_006_007_sim_0.975979.jpg,sample_012816,006.jpg,007.jpg,0.97597885
006_sample_013263_000_001_sim_0.976478.jpg,sample_013263,000.jpg,001.jpg,0.97647816
007_sample_015082_015_016_sim_0.976030.jpg,sample_015082,015.jpg,016.jpg,0.97602952
008_sample_004404_010_011_sim_0.978623.jpg,sample_004404,010.jpg,011.jpg,0.97862279
009_sample_002496_015_016_sim_0.976060.jpg,sample_002496,015.jpg,016.jpg,0.97605997
010_sample_013592_005_006_sim_0.976343.jpg,sample_013592,005.jpg,006.jpg,0.97634315
011_sample_002929_003_004_sim_0.976733.jpg,sample_002929,003.jpg,004.jpg,0.97673315
012_sample_004795_010_011_sim_0.976364.jpg,sample_004795,010.jpg,011.jpg,0.97636384
013_sample_002689_010_011_sim_0.978190.jpg,sample_002689,010.jpg,011.jpg,0.97818965
014_sample_002682_003_004_sim_0.977210.jpg,sample_002682,003.jpg,004.jpg,0.97720981
015_sample_005561_018_019_sim_0.976616.jpg,sample_005561,018.jpg,019.jpg,0.97661591
016_sample_010932_013_014_sim_0.975044.jpg,sample_010932,013.jpg,014.jpg,0.97504419
017_sample_003711_006_007_sim_0.978102.jpg,sample_003711,006.jpg,007.jpg,0.97810167
018_sample_016247_018_019_sim_0.978784.jpg,sample_016247,018.jpg,019.jpg,0.97878379
019_sample_006118_001_002_sim_0.975163.jpg,sample_006118,001.jpg,002.jpg,0.97516322
020_sample_001754_012_013_sim_0.976688.jpg,sample_001754,012.jpg,013.jpg,0.97668839
021_sample_002948_010_011_sim_0.976015.jpg,sample_002948,010.jpg,011.jpg,0.97601521
022_sample_011185_012_013_sim_0.979482.jpg,sample_011185,012.jpg,013.jpg,0.97948217
023_sample_016188_005_006_sim_0.979448.jpg,sample_016188,005.jpg,006.jpg,0.97944832
024_sample_014431_016_017_sim_0.976918.jpg,sample_014431,016.jpg,017.jpg,0.97691751
025_sample_008554_005_006_sim_0.978368.jpg,sample_008554,005.jpg,006.jpg,0.97836775
026_sample_006579_017_018_sim_0.976470.jpg,sample_006579,017.jpg,018.jpg,0.97646958
027_sample_005121_007_008_sim_0.978833.jpg,sample_005121,007.jpg,008.jpg,0.97883314
028_sample_008460_009_010_sim_0.976357.jpg,sample_008460,009.jpg,010.jpg,0.97635710
029_sample_005715_011_012_sim_0.976310.jpg,sample_005715,011.jpg,012.jpg,0.97630984
030_sample_006643_001_002_sim_0.975940.jpg,sample_006643,001.jpg,002.jpg,0.97594017
031_sample_010736_014_015_sim_0.976717.jpg,sample_010736,014.jpg,015.jpg,0.97671676
032_sample_003906_011_012_sim_0.977595.jpg,sample_003906,011.jpg,012.jpg,0.97759521
033_sample_007635_016_017_sim_0.977206.jpg,sample_007635,016.jpg,017.jpg,0.97720599
034_sample_011972_018_019_sim_0.976302.jpg,sample_011972,018.jpg,019.jpg,0.97630203
035_sample_008550_006_007_sim_0.977560.jpg,sample_008550,006.jpg,007.jpg,0.97756034
036_sample_002781_003_004_sim_0.975483.jpg,sample_002781,003.jpg,004.jpg,0.97548318
037_sample_000135_015_016_sim_0.975718.jpg,sample_000135,015.jpg,016.jpg,0.97571778
038_sample_012016_018_019_sim_0.977223.jpg,sample_012016,018.jpg,019.jpg,0.97722256
039_sample_016146_012_013_sim_0.976353.jpg,sample_016146,012.jpg,013.jpg,0.97635263
040_sample_003199_005_006_sim_0.977516.jpg,sample_003199,005.jpg,006.jpg,0.97751570
041_sample_002810_002_003_sim_0.976587.jpg,sample_002810,002.jpg,003.jpg,0.97658706
042_sample_015423_018_019_sim_0.979633.jpg,sample_015423,018.jpg,019.jpg,0.97963345
043_sample_005279_010_011_sim_0.978797.jpg,sample_005279,010.jpg,011.jpg,0.97879744
044_sample_013465_015_016_sim_0.975712.jpg,sample_013465,015.jpg,016.jpg,0.97571242
045_sample_006640_004_005_sim_0.978738.jpg,sample_006640,004.jpg,005.jpg,0.97873783
046_sample_003944_010_011_sim_0.976681.jpg,sample_003944,010.jpg,011.jpg,0.97668076
047_sample_009439_016_017_sim_0.975344.jpg,sample_009439,016.jpg,017.jpg,0.97534364
048_sample_002693_000_001_sim_0.977171.jpg,sample_002693,000.jpg,001.jpg,0.97717142
049_sample_005983_007_008_sim_0.976573.jpg,sample_005983,007.jpg,008.jpg,0.97657305
050_sample_009716_014_015_sim_0.977767.jpg,sample_009716,014.jpg,015.jpg,0.97776675
